Episode:  1
[-0.19000178863888717, 0.027061167978961825]
[-0.19122947360673948, -0.07616856669305151]
[-0.193161950177267, -0.0011304961280570042]
[-0.1925003234191962, 0.027595566450888908]
[-0.1904015254108531, 0.056356353882842276]
[-0.19017793682872286, -0.047412810597626025]
[-0.19066654585285203, 0.027868449632464425]
[-0.18852965140102018, 0.057607328440811255]
[-0.18821881370275495, -0.04517382051019427]
[-0.18968098955607005, -0.013313213622403001]
[-0.18957855280375924, 0.01741068371482943]
[-0.18794708491897216, 0.04784803167665963]
[-0.18811370388705395, -0.05451279039993662]
[-0.19003882723382715, -0.02249214347098713]
[-0.19039757519944978, 0.008142224846086062]
[-0.18923791407319923, 0.038244220203941554]
[-0.18989933159216532, -0.0647009209625803]
[-0.19124381622488462, 0.0109215356538091]
[-0.18995728233996267, 0.0405398197430718]
[-0.19051418330147918, -0.06281585820373248]
[-0.1917731646950127, 0.012456602462389568]
[-0.19041738439496037, 0.0417746095396993]
[-0.190919044718878, -0.06184102249640848]
[-0.19213497133466362, 0.013203957864977092]
Episode : 2 total_reward : -81.34 Avg Reward : -85.48
Episode:  3
[-2.3104810676038467, -0.7211661689633442]
[-2.361959137625048, -1.3379566318847085]
[-2.4436195017615154, -1.9284579335739918]
[-2.553818597476388, -2.4795058950209157]
[-2.6902158951513604, -2.9763860119779695]
[-2.8497072680811315, -3.403268905212882]
[-3.0284016242819076, -3.7445053428181563]
[3.0615040639149953, -3.9866794164891974]
[2.8599231004700405, -4.076559121309]
[2.6554591686000464, -4.10199815349079]
[2.452308896799188, -4.024012718543551]
[2.2553357770647837, -3.8549120708326234]
[2.068660855290501, -3.6120848001386725]
[1.8954754010178005, -3.3153333707693364]
[1.7379872395565448, -2.9841930876808926]
[1.597485986853341, -2.635857020447264]
[1.4756010213779645, -2.239541598567814]
[1.3733649026303567, -1.8499031513364872]
[1.2902994784708648, -1.47271381504319]
[1.225720938370233, -1.1104277889820724]
[1.1788853622610551, -0.762995255385039]
